hash,date,bug,review,lines_added,lines_removed,num_revisions,time_uploaded,time_pushed,is_unittested,is_unittest_only,num_msg,time_plus2,num_unresolved_comments,assigned_category,manual_category,researcher1,researcher2,researcher2_category,final_category,disagreement,num_comments
41f7e4418b7f98540e3c07e8b7503744ff369940,2017-12-01,crbug.com/782695,https://chromium-review.googlesource.com/803353,22,5,4,2017-12-01 13:14:24,2017-12-05 16:51:49,FALSE,FALSE,18,2017-12-05 12:35:55,1,Bug,RFE,Neil,colin,RFE,RFE,FALSE,11
34e6aed0e0a98cfed356c0f9b6b1d36e62d82092,2018-02-12,crbug.com/757625,https://chromium-review.googlesource.com/913721,14,0,4,2018-02-12 17:55:41,2018-02-14 05:19:47,FALSE,FALSE,17,2018-02-12 22:42:38,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,4
3b1523e3663ba57cf1a2f79cfde617f952e1826a,2018-02-09,crbug.com/806788,https://chromium-review.googlesource.com/911797,80,0,5,2018-02-09 18:30:24,2018-02-25 18:05:28,FALSE,FALSE,71,2018-02-15 01:46:20,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,5
f8bc9af1959ab2ec10623dd86247dae8fce9c2ab,2018-06-08,crbug.com/836092,https://chromium-review.googlesource.com/1092393,2,0,3,2018-06-08 06:01:31,2018-06-13 04:51:32,FALSE,FALSE,27,2018-06-12 05:51:18,1,Feature,RFE,Neil,colin,RFE,RFE,FALSE,2
6ea5b97ccfcc88cdae6bdef0ba2c18f49911420a,2018-06-06,crbug.com/850177,https://chromium-review.googlesource.com/1089274,8,14,2,2018-06-06 19:07:25,2018-06-21 23:33:32,FALSE,FALSE,37,2018-06-20 15:11:08,0,Task,REFAC,Neil,colin,REFAC,REFAC,FALSE,0
c497ae9ae0958e5e55ff0bc9efcd30b097774d01,2018-02-09,crbug.com/809914,https://chromium-review.googlesource.com/911790,5,1,3,2018-02-09 17:08:43,2018-02-14 05:19:47,FALSE,FALSE,32,2018-02-12 15:54:44,0,Bug,REFAC,Neil,colin,REFAC,REFAC,FALSE,8
5c25ac57d96fd0d558b3bb97b30b59a5444aea40,2018-06-08,crbug.com/211405,https://chromium-review.googlesource.com/1093544,5,0,3,2018-06-08 18:57:43,2018-06-15 18:00:59,FALSE,FALSE,29,2018-06-12 00:26:55,0,NULL,NULL,Neil,colin,NULL,NULL,FALSE,2
76f62399c84c8e4852a75662bac0d879eb3c3bc0,2017-12-07,crbug.com/769970,https://chromium-review.googlesource.com/814895,1,1,1,2017-12-07 18:12:08,2017-12-08 12:00:38,FALSE,FALSE,15,2017-12-07 18:53:12,0,NULL,NULL,Neil,colin,NULL,NULL,FALSE,0
c2501e24bdd747b8ef1fca35e168df252b2dae04,2018-05-07,crbug.com/840517,https://chromium-review.googlesource.com/1048312,6,0,2,2018-05-07 20:39:28,2018-05-09 08:13:22,FALSE,FALSE,12,2018-05-08 19:56:32,0,Bug,RFE,Neil,colin,RFE,RFE,FALSE,0
6b7296df6a2dd21c8cfbbe67f7db0942df3b95b0,2018-01-31,crbug.com/757625,https://chromium-review.googlesource.com/896110,13,0,4,2018-01-31 21:23:55,2018-02-07 05:33:31,FALSE,FALSE,15,2018-02-06 23:56:55,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,4
fc9e92db5bdd2031b29fc8738a4624dd1a67f332,2017-10-23,crbug.com/37953355,https://chromium-review.googlesource.com/733818,1,0,2,2017-10-23 18:39:20,2017-10-24 17:38:33,FALSE,FALSE,13,2017-10-23 18:46:39,1,NULL,NULL,Neil,colin,NULL,NULL,FALSE,1
64a12786b061e9ea3ea5ea84e9e9a692dba2de36,2018-06-29,crbug.com/832145,https://chromium-review.googlesource.com/1121419,113,3,16,2018-06-29 19:41:28,2018-08-31 8:24:07,FALSE,FALSE,15,2017-10-24 13:38:33,1,Bug,RFE,Neil,colin,RFE,RFE,FALSE,-1
95a4315c8aa4520dcf0e97ba189fb740bc0b2cf3,2018-06-07,crbug.com/211405,https://chromium-review.googlesource.com/1091177,2,1,2,2018-06-07 18:53:51,2018-06-08 23:14:40,FALSE,FALSE,12,2018-06-08 17:35:46,0,NULL,NULL,Neil,colin,NULL,NULL,FALSE,0
fdf130637fb812b8ebbfb5aa3454ee3dafd6adca,2018-04-10,crbug.com/831236,https://chromium-review.googlesource.com/1005624,31,3,2,2018-04-10 17:47:26,2018-04-12 01:10:18,FALSE,FALSE,23,2018-04-11 05:59:47,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,0
10047b6eaaf9fdbf667d4ea6f639f39af049be56,2018-01-19,crbug.com/757625,https://chromium-review.googlesource.com/876946,16,18,7,2018-01-19 21:29:30,2018-01-23 06:12:50,FALSE,FALSE,29,2018-01-22 20:21:41,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,0
0dec8e46281db8e22ceb71907054449b845f7103,2018-06-08,crbug.com/757625,https://chromium-review.googlesource.com/1093430,4,0,3,2018-06-08 23:09:22,2018-06-28 16:56:16,FALSE,FALSE,19,2018-06-25 19:02:08,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,0
e58895c7b9554d0f03e22595503a5e668b79c037,2018-03-12,crbug.com/812468,https://chromium-review.googlesource.com/959342,6,0,5,2018-03-12 18:33:38,2018-03-13 14:37:34,FALSE,FALSE,31,2018-03-12 22:04:03,1,Bug,RFE,Neil,colin,RFE,RFE,FALSE,1
7627004a8281866056f9b76c327680612272877b,2018-04-02,crbug.com/827680,https://chromium-review.googlesource.com/991454,6,0,1,2018-04-03 01:13:16,2018-04-03 23:13:37,FALSE,FALSE,7,2018-04-03 19:16:30,0,Task,REFAC,Neil,colin,REFAC,REFAC,FALSE,0
dedae97b29fa473d94d076d07df89f39471da167,2018-08-07,crbug.com/703939,https://chromium-review.googlesource.com/1166451,14,3,2,2018-08-08 00:58:00,2018-08-09 03:47:22,FALSE,FALSE,13,2018-08-08 17:05:09,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,0
c9454b43d2f53af43657bf44bd3d809563cac600,2018-08-16,crbug.com/869747,https://chromium-review.googlesource.com/1188447,17,0,3,2018-08-24 22:08:01,2018-08-29 23:10:11,FALSE,FALSE,28,2018-08-27 20:24:47,0,Bug,RFE,Neil,colin,RFE,RFE,FALSE,10
b45fa6f1011a1a42589c719e4eb890a6ad703614,2018-01-18,crbug.com/800120,https://chromium-review.googlesource.com/874610,8,0,1,2018-01-18 18:10:28,2018-01-19 08:30:20,FALSE,FALSE,13,2018-01-18 19:37:55,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,0
3421c94bc78d8a985b7deeb0eaa59a02251d0dca,2018-02-12,crbug.com/811138,https://chromium-review.googlesource.com/936009,53,1,2,2018-02-24 01:57:35,2018-03-06 17:59:38,FALSE,FALSE,22,2018-03-06 02:14:24,2,NULL,NULL,Neil,colin,NULL,NULL,FALSE,4
59e207e4abcdada387499c7442e2bff4dc51feab,2017-12-21,crbug.com/757625,https://chromium-review.googlesource.com/841527,13,0,2,2017-12-21 23:46:51,2018-01-03 22:23:53,FALSE,FALSE,18,2018-01-03 01:07:22,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,0
31f8e08fb13c068de5c276ba1e9e785e9820433c,2018-01-25,crbug.com/806119,https://chromium-review.googlesource.com/889918,52,11,3,2018-01-26 21:14:30,2018-02-02 21:20:20,FALSE,FALSE,28,2018-02-01 00:18:50,0,Bug,IMPR,Neil,colin,REFAC,REFAC,FALSE,2
79d3909bd007f2bd935e0e759897ca11125a51b0,2017-12-04,crbug.com/786663,https://chromium-review.googlesource.com/838841,137,1,2,2017-12-21 03:43:56,2018-01-20 01:19:46,FALSE,FALSE,19,2018-01-19 00:54:33,1,Bug,RFE,Neil,colin,RFE,RFE,FALSE,4
5731d131f133c0880b2a906d29b11a266cbe2587,2018-07-26,crbug.com/852167,https://chromium-review.googlesource.com/1152494,1,0,2,2018-07-26 23:54:17,2018-07-31 06:10:08,FALSE,FALSE,21,2018-07-27 00:10:20,0,Bug,RFE,Neil,colin,RFE,RFE,FALSE,2
09122ff0b3b32ec29dba78a08d6efa33fe9b048b,2017-11-27,crbug.com/757625,https://chromium-review.googlesource.com/792599,19,0,4,2017-11-28 02:22:19,2017-11-29 04:20:09,FALSE,FALSE,26,2017-11-28 18:18:09,0,Feature,RFE,Yitong,colin,RFE,RFE,FALSE,6
8ed37ed7e2a981a021d1ba69ee5d510564252a1a,2018-06-26,crbug.com/710465,https://chromium-review.googlesource.com/1114666,1,0,2,2018-06-26 09:55:52,2018-07-11 15:40:23,FALSE,FALSE,12,2018-07-10 14:10:08,0,Feature,RFE,Yitong,colin,RFE,RFE,FALSE,0
