hash,date,bug,review,lines_added,lines_removed,num_revisions,time_uploaded,time_pushed,is_unittested,is_unittest_only,num_msg,time_plus2,num_unresolved_comments,category,is_buggy,researcher1,researcher2
8ad22ba0765dc6351bfd59da8c43e06476b56c01,2017-10-11,crbug.com/768461,https://chromium-review.googlesource.com/713539,46,0,7,2017-10-11 22:00:01,2017-10-24 22:33:20,,,26,2017-10-23 22:44:50,2,,,,
ffb6d804bfeb671a793f781d17cd305499e83eef,2018-03-30,crbug.com/825065,https://chromium-review.googlesource.com/988296,6,2,3,2018-03-30 18:47:59,2018-04-03 23:15:47,,,15,2018-03-30 19:29:45,0,,,,
80f4d4cefb5270960d17cd347d71594e97c7a954,2018-05-16,crbug.com/833980,https://chromium-review.googlesource.com/1062662,47,18,9,2018-05-16 20:38:15,2018-05-23 19:53:21,,,51,2018-05-22 23:53:51,6,,,,
cd7edbe3eeff0b4379649eea8308c325882407ff,2017-09-18,crbug.com/766397,https://chromium-review.googlesource.com/672006,67,128,4,2017-09-19 00:14:04,2017-09-21 21:16:28,,,29,2017-09-20 02:51:45,1,,,,
f5a06d8e9f709824d768d7a15f1384668e7a4858,2017-10-19,crbug.com/776576,https://chromium-review.googlesource.com/729061,42,34,2,2017-10-19 23:44:46,2017-10-24 22:33:20,,,19,2017-10-23 22:44:10,2,,,,
5ec5bd1fe2834ce417d335901d5eb7cc888bf1e3,2018-07-11,crbug.com/862679,https://chromium-review.googlesource.com/1133706,21,21,4,2018-07-11 18:04:55,2018-07-18 05:02:45,,,19,2018-07-11 18:49:23,0,,,,
0e0e354125bac76fdc8d4455ac1708ad21b61d64,2018-02-21,crbug.com/813036,https://chromium-review.googlesource.com/929321,74,2,7,2018-02-21 18:01:33,2018-03-27 21:59:02,,,34,2018-03-26 20:14:19,1,,,,
acd7be816579a0c13ac6f746a2555b7c73f95a3b,2017-08-25,crbug.com/762815,https://chromium-review.googlesource.com/674164,379,0,7,2017-09-20 00:24:18,2017-10-05 20:25:30,,,41,2017-10-04 21:29:05,4,,,,
50dd2f03b827509c6f78cc4379d7f6c893517f6b,2018-07-19,crbug.com/865845,https://chromium-review.googlesource.com/1144642,369,0,2,2018-07-20 02:37:22,2018-07-24 04:11:16,,,21,2018-07-23 18:26:25,0,,,,
497044c5c35dd9c14282097fde5953dca27a67d3,2018-07-18,crbug.com/858621,https://chromium-review.googlesource.com/1141217,236,8,14,2018-07-18 00:05:43,2018-08-07 08:59:44,,,34,2018-08-06 07:03:43,0,,,,
d3f4bea600867b4ee85074869d723ba070db0ae7,2018-04-30,crbug.com/807976,https://chromium-review.googlesource.com/1065113,624,692,24,2018-05-17 22:51:05,2018-07-25 07:21:01,,,69,2018-07-24 00:26:54,20,,,,
f7006be5079ed91c93223273f3ddb69d655ba858,2018-03-07,crbug.com/806613,https://chromium-review.googlesource.com/952378,0,2,1,2018-01-29 00:08:23,2018-03-07 18:22:20,,,8,2018-01-29 00:28:53,0,,,,
94ffe135dd1956d5abf3bdf41503d3d32c15be3b,2018-06-28,crbug.com/852860,https://chromium-review.googlesource.com/1119397,808,1,23,2018-06-28 23:23:06,2018-07-25 07:21:01,,,80,2018-07-24 19:56:58,3,,,,
717c324c334cc3bac954101f7a127fe8ef56e4e6,2017-10-12,crbug.com/758792,https://chromium-review.googlesource.com/811895,30,8,5,2017-12-06 20:22:22,2017-12-15 17:45:08,,,23,2017-12-13 17:34:04,0,,,,
7a7a08251e2e177d17b899a99e7a3ae2592be7e6,2018-07-27,crbug.com/852860,https://chromium-review.googlesource.com/1153624,17,18,2,2018-07-27 20:43:00,2018-07-31 06:15:21,,,15,2018-07-27 21:15:01,0,,,,
5d95615688e7c99644b3679129d91f0c38e2eb95,2018-05-15,crbug.com/814090,https://chromium-review.googlesource.com/1059944,24,24,1,2018-05-15 16:47:26,2018-05-16 19:43:14,,,17,2018-05-15 17:01:10,0,,,,
ae85374770d4492d28e62d792824eea55349c981,2017-10-11,crbug.com/773336,https://chromium-review.googlesource.com/713463,13,7,3,2017-10-11 17:31:35,2017-10-16 21:16:32,,,31,2017-10-16 15:58:48,0,,,,
8f6f243f8c77b7798d67fe24b0dffaa28ab71f82,2018-05-16,crbug.com/840432,https://chromium-review.googlesource.com/1062766,71,2,4,2018-05-16 21:01:04,2018-06-13 20:10:56,,,14,2018-06-12 17:08:32,2,,,,
